error,correction,error_type
I saw teh yesterday,I saw the yesterday,common_misspelling
Can you get teh for me,Can you get the for me,common_misspelling
This is teh one,This is the one,common_misspelling
teh is the answer,the is the answer,common_misspelling
I think teh works well,I think the works well,common_misspelling
I saw hte yesterday,I saw the yesterday,common_misspelling
Can you get hte for me,Can you get the for me,common_misspelling
This is hte one,This is the one,common_misspelling
hte is the answer,the is the answer,common_misspelling
I think hte works well,I think the works well,common_misspelling
I saw adn yesterday,I saw and yesterday,common_misspelling
Can you get adn for me,Can you get and for me,common_misspelling
This is adn one,This is and one,common_misspelling
adn is the answer,and is the answer,common_misspelling
I think adn works well,I think and works well,common_misspelling
I saw nad yesterday,I saw and yesterday,common_misspelling
Can you get nad for me,Can you get and for me,common_misspelling
This is nad one,This is and one,common_misspelling
nad is the answer,and is the answer,common_misspelling
I think nad works well,I think and works well,common_misspelling
I saw waht yesterday,I saw what yesterday,common_misspelling
Can you get waht for me,Can you get what for me,common_misspelling
This is waht one,This is what one,common_misspelling
waht is the answer,what is the answer,common_misspelling
I think waht works well,I think what works well,common_misspelling
I saw taht yesterday,I saw that yesterday,common_misspelling
Can you get taht for me,Can you get that for me,common_misspelling
This is taht one,This is that one,common_misspelling
taht is the answer,that is the answer,common_misspelling
I think taht works well,I think that works well,common_misspelling
I saw thsi yesterday,I saw this yesterday,common_misspelling
Can you get thsi for me,Can you get this for me,common_misspelling
This is thsi one,This is this one,common_misspelling
thsi is the answer,this is the answer,common_misspelling
I think thsi works well,I think this works well,common_misspelling
I saw thier yesterday,I saw their yesterday,common_misspelling
Can you get thier for me,Can you get their for me,common_misspelling
This is thier one,This is their one,common_misspelling
thier is the answer,their is the answer,common_misspelling
I think thier works well,I think their works well,common_misspelling
I saw freind yesterday,I saw friend yesterday,common_misspelling
Can you get freind for me,Can you get friend for me,common_misspelling
This is freind one,This is friend one,common_misspelling
freind is the answer,friend is the answer,common_misspelling
I think freind works well,I think friend works well,common_misspelling
I saw recieve yesterday,I saw receive yesterday,common_misspelling
Can you get recieve for me,Can you get receive for me,common_misspelling
This is recieve one,This is receive one,common_misspelling
recieve is the answer,receive is the answer,common_misspelling
I think recieve works well,I think receive works well,common_misspelling
I saw beleive yesterday,I saw believe yesterday,common_misspelling
Can you get beleive for me,Can you get believe for me,common_misspelling
This is beleive one,This is believe one,common_misspelling
beleive is the answer,believe is the answer,common_misspelling
I think beleive works well,I think believe works well,common_misspelling
I saw occured yesterday,I saw occurred yesterday,common_misspelling
